	University	Pedestrian	Neighbourhood	City	County	State	Country	Country_code	Road	Postcode	Footway	Suburb	Address29	Cycleway	Clothes	House_number	Hamlet	School	Town	Locality	Parking	Hospital	Village	Museum	College	Park	Convenience	Library	Attraction	Residential	Bicycle_parking	Building	City_district	Industrial	Commercial	Station	University	Subject	Stipend	LW Ratio	Academic Year	Program Year
819	Yale University			West Haven	New Haven County	Connecticut	USA	us	West Campus Drive	06516																											Yale University 	Political Science	32000	1.29	2019-2020	1st
820				Urbana	Champaign County	Illinois	USA	us	South Mathews Avenue	61801											B-3																University of Illinois - Urbana- Champaign 	Chemistry	40000	1.82	2019-2020	5th
821				Urbana	Champaign County	Illinois	USA	us	South Mathews Avenue	61801											B-3																University of Illinois - Urbana- Champaign 	Chemistry	35800	1.63	2016-2017	1st
822				Urbana	Champaign County	Illinois	USA	us	South Mathews Avenue	61801											B-3																University of Illinois - Urbana- Champaign 	Chemistry	37000	1.68	2016-2017	2nd
823				Urbana	Champaign County	Illinois	USA	us	South Mathews Avenue	61801											B-3																University of Illinois - Urbana- Champaign 	Chemistry	37000	1.68	2017-2018	3rd
824				Urbana	Champaign County	Illinois	USA	us	South Mathews Avenue	61801											B-3																University of Illinois - Urbana- Champaign 	Chemistry	38800	1.76	2018-2019	4th
825				Urbana	Champaign County	Illinois	USA	us	South Mathews Avenue	61801											B-3																University of Illinois - Urbana- Champaign 	Chemistry	38800	1.76	2018-2019	4th
826			Cardinal Court		McLean County	Illinois	United States of America	us		61790	Constitution Trail								Normal		Illinois State University																Illinois State University 	English	13600	0.6	2018-2019	4th
827	CWRU		Magnolia-Wade Park Historic District	Cleveland	Cuyahoga County	Ohio	USA	us	Euclid Avenue	44106		University Circle				10900																					Case Western Reserve University	BSTP	29800	1.49	2019-2020	1st
828	University of Chicago		Woodlawn	Chicago	Cook County	Illinois	USA	us	South Ellis Avenue	60637																											University of Chicago 	Anthropology	29791	1.23	2019-2020	1st
829	Georgia Tech	Atlantic Drive Northwest	Bellwood	Atlanta	Fulton County	Georgia	USA	us		30318		Rockdale																									Georgia Institute of Technology 	Economics	192840	8.28	2018-2019	2nd
830				Urbana	Champaign County	Illinois	USA	us	South Mathews Avenue	61801											B-3																University of Illinois - Urbana- Champaign 	Geography and GIS	21528	0.98	2018-2019	4th
831	UCSD		University Center	San Diego	San Diego County	California	USA	us	Gilman Drive	92093		Torrey Pines				9500																					University of California - San Diego 	Philosophy	24000	0.91	2019-2020	1st
832	University of Wisconsin-Madison		Oakland Heights	Madison	Dane County	Wisconsin	USA	us		53726				Howard Temin Lakeshore Path																							University of Wisconsin - Madison 	Philosophy	21000	0.92	2019-2020	1st
833	Brown University		Fox Point	Providence	Bristol	Rhode Island	USA	us	Thayer Street	02912																											Brown University	Philosophy	35000	1.54	2019-2020	1st
834			Hadley Village		Erie County	New York	USA	us	John James Audubon Parkway	14261							North Bailey															Suny University at Buffalo Controller Office					University at Buffalo - SUNY	maths	26000	1.24	2019-2020	1st
835			Hadley Village		Erie County	New York	USA	us	John James Audubon Parkway	14261							North Bailey															Suny University at Buffalo Controller Office					University at Buffalo - SUNY	maths	21000	1.0	2019-2020	1st
836			Hadley Village		Erie County	New York	USA	us	John James Audubon Parkway	14261							North Bailey															Suny University at Buffalo Controller Office					University at Buffalo - SUNY	maths	20800	0.99	2019-2020	1st
837			Hadley Village		Erie County	New York	USA	us	John James Audubon Parkway	14261							North Bailey															Suny University at Buffalo Controller Office					University at Buffalo - SUNY	maths	20800	0.99	2019-2020	1st
838				Urbana	Champaign County	Illinois	USA	us	South Mathews Avenue	61801											B-3																University of Illinois - Urbana- Champaign 	Civil and Environmental Engineering	34000	1.55	2018-2019	1st
839	UNC-Chapel Hill				Orange County	North Carolina	USA	us	Ehringhaus Drive	275199									Chapel Hill																		University of North Carolina - Chapel Hill 	Health Behavior	17630	0.79	2018-2019	5th
840	University of California - Los Angeles (Westwood)	Bruin Walk	Westwood Village	LA	Los Angeles County	California	USA	us		90095		Westwood																									University of California - Los Angeles 	Urban Planning	20000	0.77	2019-2020	1st
841	Duke University	Union Circle	Trinity Heights	Durham	Durham County	North Carolina	USA	us																													Duke University 	Nicholas School	29350	1.32	2019-2020	1st
842	Northwestern University		Downtown	Evanston	Cook County	Illinois	USA	us	Haven Street	60201																											Northwestern University 	political science	28670	1.18	2018-2019	6th and up
843			Medical District	Austin	Travis County	Texas	USA	us	San Jacinto Boulevard	78712						2152									University of Texas at Austin												University of Texas - Austin 	Sociology	18684	0.82	2018-2019	1st
844	University of Denver			Denver	Denver County	Colorado	USA	us		80208	Driscoll Bridge																										University of Denver 	International studies 	17000	0.76	2017-2018	1st
845	University of Denver			Denver	Denver County	Colorado	USA	us		80208	Driscoll Bridge																										University of Denver 	International studies 	20000	0.89	2018-2019	2nd
846				Urbana	Champaign County	Illinois	USA	us	South Mathews Avenue	61801											B-3																University of Illinois - Urbana- Champaign 	Neuroscience	26294	1.2	2018-2019	4th
847				Urbana	Champaign County	Illinois	USA	us	South Mathews Avenue	61801											B-3																University of Illinois - Urbana- Champaign 	Curriculum and Instruction	230000	10.46	2018-2019	5th
848				Urbana	Champaign County	Illinois	USA	us	South Mathews Avenue	61801											B-3																University of Illinois - Urbana- Champaign 	English 	19000	0.86	2018-2019	6th and up
849			Medical District	Austin	Travis County	Texas	USA	us	San Jacinto Boulevard	78712						2152									University of Texas at Austin												University of Texas - Austin 	History	24000	1.05	2018-2019	1st
850	University of Maryland, College Park				Prince George's County	Maryland	USA	us	Metzerott Road	20740		Berwyn											College Park														University of Maryland - College Park 	history	16380	0.54	2018-2019	2nd
851	Brown University		Fox Point	Providence	Bristol	Rhode Island	USA	us	Thayer Street	02912																											Brown University	Egyptology and Assyriology	31500	1.38	2019-2020	1st
852				Urbana	Champaign County	Illinois	USA	us	South Mathews Avenue	61801											B-3																University of Illinois - Urbana- Champaign 	Environmental engineering	20500	0.93	2018-2019	4th
853	University of Florida		Diamond Village Apartments	City of Gainesville Municipal Boundaries	Alachua County	Florida	USA	us	Mowry Road	32611																											University of Florida 	Linguistics	13500	0.59	2017-2018	1st
854				Urbana	Champaign County	Illinois	USA	us	South Mathews Avenue	61801											B-3																University of Illinois - Urbana- Champaign 	Physics	22829	1.04	2018-2019	3rd
855	UNC-Chapel Hill				Orange County	North Carolina	USA	us	Ehringhaus Drive	275199									Chapel Hill																		University of North Carolina - Chapel Hill 	Geography	14200	0.64	2018-2019	5th
856	UNC-Chapel Hill				Orange County	North Carolina	USA	us	Ehringhaus Drive	275199									Chapel Hill																		University of North Carolina - Chapel Hill 	City and Regional Planning	17100	0.77	2018-2019	2nd
857	Northwestern University		Downtown	Evanston	Cook County	Illinois	USA	us	Haven Street	60201																											Northwestern University 	Philosophy	31821	1.31	2018-2019	1st
858	UNC-Chapel Hill				Orange County	North Carolina	USA	us	Ehringhaus Drive	275199									Chapel Hill																		University of North Carolina - Chapel Hill 	History	13700	0.62	2018-2019	5th
859	UNC-Chapel Hill				Orange County	North Carolina	USA	us	Ehringhaus Drive	275199									Chapel Hill																		University of North Carolina - Chapel Hill 	Environmental Sciences and Engineering	22366	1.01	2018-2019	3rd
860	NYU		Washington Square Village	NYC	New York County	New York	United States of America	us		10012	Laguardia Place	Manhattan																									New York University 	Global public health	28000	0.94	2018-2019	2nd
861			Medical District	Austin	Travis County	Texas	USA	us	San Jacinto Boulevard	78712						2152									University of Texas at Austin												University of Texas - Austin 	Educational Psychology	20000	0.88	2018-2019	4th
862	NYU		Washington Square Village	NYC	New York County	New York	United States of America	us		10012	Laguardia Place	Manhattan																									New York University 	Public Health	28000	0.94	2018-2019	2nd
863				Urbana	Champaign County	Illinois	USA	us	South Mathews Avenue	61801											B-3																University of Illinois - Urbana- Champaign 	Civil and Environmental Engineering 	22600	1.03	2018-2019	1st
864				Urbana	Champaign County	Illinois	USA	us	South Mathews Avenue	61801											B-3																University of Illinois - Urbana- Champaign 	Bioengineering	26753	1.22	2018-2019	2nd
865	University of Florida		Diamond Village Apartments	City of Gainesville Municipal Boundaries	Alachua County	Florida	USA	us	Mowry Road	32611																											University of Florida 	History 	22900	1.01	2018-2019	1st
866	UCSD		University Center	San Diego	San Diego County	California	USA	us	Gilman Drive	92093		Torrey Pines				9500																					University of California - San Diego 	Ethnic Studies	25000	0.94	2018-2019	1st
867				Houston	Harris County	Texas	USA	us	Baylor Plaza	77030						1																Baylor College of Medicine					Baylor College of Medicine	Department of Environmental science	18000	0.82	2018-2019	2nd
868	UNC-Chapel Hill				Orange County	North Carolina	USA	us	Ehringhaus Drive	275199									Chapel Hill																		University of North Carolina - Chapel Hill 	Geography	14000	0.74	2012-2013	3rd
869	University of Michigan			Ann Arbor	Washtenaw County	Michigan	USA	us	South State Street	48109						500																					University of Michigan - Ann Arbor 	Anthropology and History	24000	1.04	2019-2020	1st
870				Urbana	Champaign County	Illinois	USA	us	South Mathews Avenue	61801											B-3																University of Illinois - Urbana- Champaign 	Environmental Engineering	20500	0.93	2018-2019	4th
871	Yale University			West Haven	New Haven County	Connecticut	USA	us	West Campus Drive	06516																											Yale University 	American Studies	30000	1.21	2016-2017	5th
872	BU		Audubon Square	Boston	Suffolk County	Massachusetts	USA	us	Commonwealth Avenue	02215		Fenway																									Boston University 	School of theology 	31000	1.08	2018-2019	6th and up
873	UNC-Chapel Hill				Orange County	North Carolina	USA	us	Ehringhaus Drive	275199									Chapel Hill																		University of North Carolina - Chapel Hill 	geography	19764	0.89	2018-2019	3rd
874				Lexington	Fayette County	Kentucky	USA	us	Columbia Avenue	40508																				Sorority Circle	University of Kentucky						University of Kentucky 	Sociology	34568	1.69	2019-2020	1st
875			Soho	PGH	Allegheny County	Pennsylvania	USA	us	McAnulty Drive	15219		Bluff						Duquesne University																			Duquesne University 	Philosophy 	18000	0.87	2018-2019	4th
876			Medical District	Austin	Travis County	Texas	USA	us	San Jacinto Boulevard	78712						2152									University of Texas at Austin												University of Texas - Austin 	African and African Diaspora Studies	20500	0.9	2016-2017	3rd
877			Medical District	Austin	Travis County	Texas	USA	us	San Jacinto Boulevard	78712						2152									University of Texas at Austin												University of Texas - Austin 	African and African Diaspora Studies	16500	0.72	2017-2018	4th
878			Medical District	Austin	Travis County	Texas	USA	us	San Jacinto Boulevard	78712						2152									University of Texas at Austin												University of Texas - Austin 	African and African Diaspora Studies	16500	0.72	2018-2019	5th
879			University City	Philadelphia	Philadelphia County	Pennsylvania	USA	us	South Street	19104						3260								Penn Museum													University of Pennsylvania	Education 	25000	1.04	2018-2019	5th
880	Michigan State University			East Lansing	Ingham County	Michigan	USA	us	Farm Lane	48824																											Michigan State University 	English	15742	0.77	2018-2019	1st
881	Michigan State University			East Lansing	Ingham County	Michigan	USA	us	Farm Lane	48824																											Michigan State University 	Agriculture, Food and Resource Economics	22900	1.12	2018-2019	2nd
882	UC Berkeley			Oakland	Alameda County	California	USA	us	Centennial Drive	94720-1076																											University of California - Berkeley	Molecular and Cellular Biology	37000	1.33	2019-2020	1st
883	University of Wisconsin-Madison		Oakland Heights	Madison	Dane County	Wisconsin	USA	us		53726				Howard Temin Lakeshore Path																							University of Wisconsin - Madison 	Genetics	28000	1.23	2019-2020	1st
884	University of Michigan			Ann Arbor	Washtenaw County	Michigan	USA	us	South State Street	48109						500																					University of Michigan - Ann Arbor 	Program in Biomedical Sciences	31632	1.37	2019-2020	1st
885	Yale University			West Haven	New Haven County	Connecticut	USA	us	West Campus Drive	06516																											Yale University 	Biological and Biomedical Sciences	36550	1.48	2019-2020	1st
886	San Diego State University			San Diego	San Diego County	California	USA	us	Scripps Terrace	92182		Mid-City																									San Diego State University 	Public Health	16536	0.62	2019-2020	1st
887	University of Washington		Montlake	Seattle	King County	Washington	USA	us	Jefferson Road Northeast	98195-2350		University District																									University of Washington 	English	23098	0.99	2018-2019	2nd
888	University of Iowa			Iowa City	Johnson County	Iowa	USA	us	Hawkeye Court	52246																											University of Iowa 	Genetics	30000	1.35	2019-2020	1st
889	UC Berkeley			Oakland	Alameda County	California	USA	us	Centennial Drive	94720-1076																											University of California - Berkeley	Geography	28000	1.01	2018-2019	3rd
890					Wayne County	Indiana	USA	us	West Cart Road	47374									Richmond						Indiana University East												Indiana University	English	14430	0.67	2018-2019	3rd
891	CUNY Graduate School and University Center			NYC	New York County	New York	USA	us	5th Avenue	10016		Manhattan				365																					CUNY Graduate School and University Center	Comparative Literature 	26128	0.88	2019-2020	1st
892			East Campus		Tolland County	Connecticut	USA	us	Glenbrook Road	06269								University of Connecticut		Storrs																	University of Connecticut 	physics	23500	0.97	2019-2020	1st
893	UC Berkeley			Oakland	Alameda County	California	USA	us	Centennial Drive	94720-1076																											University of California - Berkeley	Environmental Science, Policy, & Management	30000	1.08	2018-2019	3rd
894	Emory University		Emory Highlands		DeKalb County	Georgia	USA	us	Gambrell Drive Northeast	30322		Oakhurst											North Decatur														Emory University	Religion	31000	1.33	2018-2019	1st
895	UC Berkeley			Oakland	Alameda County	California	USA	us	Centennial Drive	94720-1076																											University of California - Berkeley	Environmental Science, Policy, and Management	33075	1.19	2018-2019	1st
896	Princeton Theological Seminary			Princeton	Mercer County	New Jersey	USA	us	College Road	08544																											Princeton Theological Seminary 	History	30000	1.18	2019-2020	1st
897				College Township	Centre County	Pennsylvania	USA	us	Air Quality Lane	16803		University Park																	Air Quality Learning and Demonstration Center								Pennsylvania State University 	Counselor Education 	14000	0.76	2014-2015	1st
898	Brandeis University		The Island		Middlesex County	Massachusetts	USA	us	Loop Road	02453-2728									Waltham																		Brandeis University	Musicology PHD	24500	0.88	2018-2019	1st
899			East End	Rochester	Monroe County	New York	USA	us	University Avenue	14607						500								Memorial Art Gallery													University of Rochester 	Musicology PHD	15000	0.7	2018-2019	1st
900	UC Berkeley			Oakland	Alameda County	California	USA	us	Centennial Drive	94720-1076																											University of California - Berkeley	ESPN	28500	1.03	2017-2018	4th
901	University of Virginia			Charlottesville		Virginia	USA	us	Emmet Street North	22901																											University of Virginia 	BIMS	32000	1.4	2019-2020	1st
902	University of Virginia			Charlottesville		Virginia	USA	us	Emmet Street North	22901																											University of Virginia 	BIMS	32000	1.4	2019-2020	1st
903	University of Oregon			Eugene	Lane County	Oregon	USA	us	Autzen Service Road	97403-5274		College Hill																									University of Oregon 	Political Science	15000	0.71	2018-2019	5th
904	University of Oregon			Eugene	Lane County	Oregon	USA	us	Autzen Service Road	97403-5274		College Hill																									University of Oregon 	Business	23886	1.14	2019-2020	1st
905	UC Berkeley			Oakland	Alameda County	California	USA	us	Centennial Drive	94720-1076																											University of California - Berkeley	Environmental Science, Policy, and Management 	26000	0.94	2018-2019	2nd
906	LSU			Baton Rouge	East Baton Rouge Parish	Louisiana	USA	us	Gourrier Avenue	70803																											Louisiana State University - Baton Rouge	English 	14250	0.66	2018-2019	1st
907			Medical District	Austin	Travis County	Texas	USA	us	San Jacinto Boulevard	78712						2152									University of Texas at Austin												University of Texas - Austin 	English	16787	0.74	2017-2018	5th
908	UC Berkeley			Oakland	Alameda County	California	USA	us	Centennial Drive	94720-1076																											University of California - Berkeley	Environmental Science, Policy & Management	22000	0.79	2018-2019	6th and up
909			Washington Hill	Baltimore		Maryland	USA	us	Orleans Street	21287						1800						Johns Hopkins Hospital															Johns Hopkins University 	Physics & Astronomy	32833	1.28	2018-2019	2nd
910	UC Berkeley			Oakland	Alameda County	California	USA	us	Centennial Drive	94720-1076																											University of California - Berkeley	Geography	30500	1.1	2018-2019	1st
911	UC Berkeley			Oakland	Alameda County	California	USA	us	Centennial Drive	94720-1076																											University of California - Berkeley	Environmental Science, Policy, and Management	28500	1.03	2018-2019	6th and up
912	University of Maryland, College Park				Prince George's County	Maryland	USA	us	Metzerott Road	20740		Berwyn											College Park														University of Maryland - College Park 	Computer Science	31900	1.05	2019-2020	1st
913	UC Berkeley			Oakland	Alameda County	California	USA	us	Centennial Drive	94720-1076																											University of California - Berkeley	Environmental Science, Policy, and Management 	16200	0.58	2018-2019	5th
914	California Institute of Technology	San Pasqual Walk	Madison Heights	Pasadena	Los Angeles County	California	USA	us		91126																											California Institute of Technology 	Mechanical and Civil Engineering	36000	1.39	2019-2020	1st
915	UC Berkeley			Oakland	Alameda County	California	USA	us	Centennial Drive	94720-1076																											University of California - Berkeley	Environmental Science, Policy, & Management	34000	1.22	2018-2019	3rd
916	Northeastern University		Roxbury Crossing	Boston	Suffolk County	Massachusetts	USA	us	Tremont Street	MA 02118		Roxbury																									Northeastern University 	History	29100	1.02	2018-2019	4th
917			The Hill	Boulder	Boulder County	Colorado	USA	us	Broadway	80802						1030								HEND													University of Colorado - Boulder 	Communication	26000	1.02	2018-2019	1st
918	University of Georgia		Five Points	Athens-Clarke County Unified Government	Athens-Clarke County	Georgia	USA	us	East Campus Road	30602																											University of Georgia 	Psychology	11000	0.52	2019-2020	1st
919	University of California, Davis				Yolo County	California	USA	us	Apiary Drive	95616-5270																											University of California - Davis 	Population Biology	26612	1.11	2019-2020	1st
920				Urbana	Champaign County	Illinois	USA	us	South Mathews Avenue	61801											B-3																University of Illinois - Urbana- Champaign 	History	17500	0.8	2018-2019	6th and up
921	UC Berkeley			Oakland	Alameda County	California	USA	us	Centennial Drive	94720-1076																											University of California - Berkeley	Geography	26500	0.95	2018-2019	5th
922			Medical District	Austin	Travis County	Texas	USA	us	San Jacinto Boulevard	78712						2152									University of Texas at Austin												University of Texas - Austin 	English	19600	0.86	2018-2019	5th
923	UMN			St. Paul	Ramsey County	Minnesota	USA	us	North Brompton Street	55108																											University of Minnesota - Twin Cities 	Agronomy and Plant Genetics	20880	0.91	2018-2019	4th
924	NYU		Washington Square Village	NYC	New York County	New York	United States of America	us		10012	Laguardia Place	Manhattan																									New York University 	Sociology	35000	1.18	2018-2019	1st
925	Northeastern University		Roxbury Crossing	Boston	Suffolk County	Massachusetts	USA	us	Tremont Street	MA 02118		Roxbury																									Northeastern University 	Sociology	22200	0.78	2018-2019	5th
926	UMN			St. Paul	Ramsey County	Minnesota	USA	us	North Brompton Street	55108																											University of Minnesota - Twin Cities 	Entomology	22214	0.97	2018-2019	4th
927	UMN			St. Paul	Ramsey County	Minnesota	USA	us	North Brompton Street	55108																											University of Minnesota - Twin Cities 	Entomology	22214	0.97	2018-2019	4th
928	North Carolina State University			Raleigh	Wake County	North Carolina	USA	us	I 440;US 1	27606		Westover																									North Carolina State University 	Electrical and Computer Engineering	24000	1.05	2019-2020	1st
929	University of Central Florida				Orange County	Florida	USA	us	Libra Drive	32816							University Park																				University of Central Florida 	Biomedical Sciences	25000	1.08	2019-2020	1st
930	University of Florida		Diamond Village Apartments	City of Gainesville Municipal Boundaries	Alachua County	Florida	USA	us	Mowry Road	32611																											University of Florida 	College of Journalism and Communications	34220	1.51	2019-2020	1st
931	University of Oregon			Eugene	Lane County	Oregon	USA	us	Autzen Service Road	97403-5274		College Hill																									University of Oregon 	Biology	25819	1.23	2017-2018	6th and up
932				Portland	Multnomah County	Oregon	USA	us	Southwest 6th Avenue	97204		Portland Downtown			OSU Beaver Store	538																					Oregon State University 	Anthropology	12939	0.62	2017-2018	2nd
933				Portland	Multnomah County	Oregon	USA	us	Southwest 6th Avenue	97204		Portland Downtown			OSU Beaver Store	538																					Oregon State University 	Anthropology	949	0.05	2017-2018	2nd
934	UCSF		Inner Sunset	SF	SF	California	USA	us	Parnassus Avenue	94117																											University of California - San Francisco 	Biomedical Sciences (BMS)	40000	1.34	2019-2020	1st
935	UCSD		University Center	San Diego	San Diego County	California	USA	us	Gilman Drive	92093		Torrey Pines				9500																					University of California - San Diego 	Clinical psychology	24816	0.94	2019-2020	1st
936	Cornell University				Ithaca Town	New York	USA	us	Forest Home Drive	14853										Forest Home																	Cornell University 	Computer science	27150	1.12	2018-2019	1st
937	UMN			St. Paul	Ramsey County	Minnesota	USA	us	North Brompton Street	55108																											University of Minnesota - Twin Cities 	Computer Science	24400	1.06	2018-2019	2nd
938	Washington State University Everett			Everett	Snohomish County	Washington	USA	us		98201	Crosswalk																										Washington State University 	Food Science	18225	0.96	2018-2019	2nd
939	Duke University	Union Circle	Trinity Heights	Durham	Durham County	North Carolina	USA	us																													Duke University 	Civil/Environmental Engineering PhD	31800	1.43	2019-2020	1st
940			Hadley Village		Erie County	New York	USA	us	John James Audubon Parkway	14261							North Bailey															Suny University at Buffalo Controller Office					University at Buffalo - SUNY	English	17400	0.83	2019-2020	1st
941				Phoenix	Maricopa County	Arizona	USA	us		85004	Taylor Mall	Central City	Dero			Suite 1400																					Arizona State University 	School for the Future of Innovation in Society	16357	0.74	2018-2019	2nd
942				College Township	Centre County	Pennsylvania	USA	us	Air Quality Lane	16803		University Park																	Air Quality Learning and Demonstration Center								Pennsylvania State University 	IST	29100	1.3	2019-2020	1st
943				West Lafayette	Tippecanoe County	Indiana	USA	us	Central Drive	47907						500												Siegesmund Engineering Library									Purdue University - West Lafayette	Human Development and Family Studies	17300	0.82	2019-2020	1st
944					Santa Barbara County	California	USA	us		93106									Isla Vista	UCSB																	University of California - Santa Barbara 	Earth Science	20000	0.76	2018-2019	2nd
945	UNC-Chapel Hill				Orange County	North Carolina	USA	us	Ehringhaus Drive	275199									Chapel Hill																		University of North Carolina - Chapel Hill 	Sociology	9002	0.41	2018-2019	2nd
946	UNC-Chapel Hill				Orange County	North Carolina	USA	us	Ehringhaus Drive	275199									Chapel Hill																		University of North Carolina - Chapel Hill 	Sociology	9002	0.41	2018-2019	2nd
947	Brandeis University		The Island		Middlesex County	Massachusetts	USA	us	Loop Road	02453-2728									Waltham																		Brandeis University	Musicology	24500	0.88	2019-2020	1st
948	Syracuse University		Skytop	Syracuse	Onondaga County	New York	USA	us	Farm Acre Road	13210																											Syracuse University	Religion	20300	0.95	2019-2020	1st
949	University of Virginia			Charlottesville		Virginia	USA	us	Emmet Street North	22901																											University of Virginia 	Religious Studies	24000	1.05	2019-2020	1st
950				Washington		D.C.	USA	us	Michigan Avenue Northeast	20018																		John K. Mullen of Denver Memorial Library									The Catholic University of America	Theology & Religious Studies	18000	0.58	2019-2020	1st
951	University of California, Davis				Yolo County	California	USA	us	Apiary Drive	95616-5270																											University of California - Davis 	Philosophy	20653	0.86	2018-2019	1st
952	University of Delaware			Newark	New Castle County	Delaware	USA	us	South College Avenue	19713																											University of Delaware 	Biological Sciences	26666	1.05	2019-2020	1st
953	University of Arkansas			Fayetteville	Washington County	Arkansas	USA	us	North Garland Avenue	72704																											University of Arkansas - Fayetteville	Geosciences	36100	1.81	2019-2020	1st
954	John Felice Rome Center		Balduina	Roma	RM	LAZ	Italia	it	Via Massimi	00136		Municipio Roma XIV																									Loyola University Chicago 	Biomedical Sciences	30000	1.24	2019-2020	1st
955	George Washington University			Washington		D.C.	USA	us	New Hampshire Avenue Northwest	20036																											George Washington University 	Electrical and Computer Engineering	22500	0.73	2018-2019	2nd
956	UMass Amherst				Hampshire	Massachusetts	USA	us	Hicks Way	01003									Amherst																		University of Massachusetts - Amherst 	Linguistics	23659	1.03	2019-2020	1st
957	University of Washington		Montlake	Seattle	King County	Washington	USA	us	Jefferson Road Northeast	98195-2350		University District																									University of Washington 	Computer Science and Engineering	27000	1.16	2019-2020	1st
958	Yale University			West Haven	New Haven County	Connecticut	USA	us	West Campus Drive	06516																											Yale University 	Spanish and Portuguese	31800	1.29	2019-2020	1st
959	Harvard University		Old Cambridge		Middlesex County	Massachusetts	USA	us	John F. Kennedy Street	02163									Cambridge																		Harvard University 	Romance Languages and Literatures	35676	1.25	2019-2020	1st
960	The Ohio State University		Riverview	Columbus	Franklin County	Ohio	USA	us	W Lane Ave	43221																											Ohio State University 	Portuguese 	17442	0.87	2019-2020	1st
961	University of Iowa			Iowa City	Johnson County	Iowa	USA	us	Hawkeye Court	52246																											University of Iowa 	Sociology	24500	1.1	2018-2019	1st
962	University of Michigan			Ann Arbor	Washtenaw County	Michigan	USA	us	South State Street	48109						500																					University of Michigan - Ann Arbor 	PCB	30000	1.3	2018-2019	1st
963	UNC-Chapel Hill				Orange County	North Carolina	USA	us	Ehringhaus Drive	275199									Chapel Hill																		University of North Carolina - Chapel Hill 	BBSP	32000	1.44	2019-2020	1st
964	Brown University		Fox Point	Providence	Bristol	Rhode Island	USA	us	Thayer Street	02912																											Brown University	Anthropology	31519	1.39	2019-2020	1st
965	CUNY Graduate School and University Center			NYC	New York County	New York	USA	us	5th Avenue	10016		Manhattan				365																					CUNY Graduate School and University Center	Earth and Environmental Sciences	25000	0.84	2019-2020	1st
966	TU			New Orleans	Orleans Parish	Louisiana	USA	us	Drill Road	70118																											Tulane University 	Chemistry 	26000	1.13	2019-2020	1st
967	Syracuse University		Skytop	Syracuse	Onondaga County	New York	USA	us	Farm Acre Road	13210																											Syracuse University	Human development and family science	15150	0.71	2018-2019	1st
968	Harvard University		Old Cambridge		Middlesex County	Massachusetts	USA	us	John F. Kennedy Street	02163									Cambridge																		Harvard University 	Linguistics	35676	1.25	2019-2020	1st
969	Ball State University			Muncie	Delaware County	Indiana	USA	us	North McKinley Avenue	47303																											Ball State University 	Counseling Psychology, Social Psychology, and Mental Health Counseling	6500	0.32	2018-2019	1st
970	Harvard University		Old Cambridge		Middlesex County	Massachusetts	USA	us	John F. Kennedy Street	02163									Cambridge																		Harvard University 	Education	39676	1.39	2019-2020	1st
971	University of California - Los Angeles (Westwood)	Bruin Walk	Westwood Village	LA	Los Angeles County	California	USA	us		90095		Westwood																									University of California - Los Angeles 	Ethnomusicology	21000	0.81	2019-2020	1st
972	UNC-Chapel Hill				Orange County	North Carolina	USA	us	Ehringhaus Drive	275199									Chapel Hill																		University of North Carolina - Chapel Hill 	BBSP	32000	1.44	2019-2020	1st
973				Princeton	Mercer County	New Jersey	USA	us	University Place	08540											Lot 9																Princeton University	Political Science	36500	1.44	2019-2020	1st
974				Phoenix	Maricopa County	Arizona	USA	us		85004	Taylor Mall	Central City	Dero			Suite 1400																					Arizona State University 	School of Molecular Sciences	22874	1.03	2017-2018	5th
975	University of Florida		Diamond Village Apartments	City of Gainesville Municipal Boundaries	Alachua County	Florida	USA	us	Mowry Road	32611																											University of Florida 	Geology	19800	0.87	2019-2020	1st
976	Harvard University		Old Cambridge		Middlesex County	Massachusetts	USA	us	John F. Kennedy Street	02163									Cambridge																		Harvard University 	Economics	38000	1.33	2019-2020	1st
977	University of Southern California	Watt Way	Adams Normandie Historic District	LA	Los Angeles County	California	USA	us		90089		Saint James Park																									University of Southern California 	Epidemiology	35000	1.35	2019-2020	1st
978	University of Wisconsin-Milwaukee			Milwaukee	Milwaukee County	Wisconsin	USA	us	East Kenwood Boulevard	53211		Upper East Side				2200																					University of Wisconsin - Milwaukee 	psychology	17550	0.82	2018-2019	1st
979				Tampa	Hillsborough County	Florida	USA	us	USF Beard Drive	33620		Sulphur Springs															P.O.D. Market - Juniper										University of South Florida 	Sociology	16700	0.76	2018-2019	3rd
980	Michigan State University			East Lansing	Ingham County	Michigan	USA	us	Farm Lane	48824																											Michigan State University 	Political Science	25000	1.22	2018-2019	1st
981	University of Washington		Montlake	Seattle	King County	Washington	USA	us	Jefferson Road Northeast	98195-2350		University District																									University of Washington 	Statistics	22644	0.97	2019-2020	1st
982	University of California - Los Angeles (Westwood)	Bruin Walk	Westwood Village	LA	Los Angeles County	California	USA	us		90095		Westwood																									University of California - Los Angeles 	Statistics	21000	0.81	2019-2020	1st
983	University of California, Irvine			Irvine	Orange County	California	USA	us	East Peltason Drive	92612		Turtle Rock																									University of California - Irvine 	Statistics	20793	0.71	2019-2020	1st
984	North Carolina State University			Raleigh	Wake County	North Carolina	USA	us	I 440;US 1	27606		Westover																									North Carolina State University 	Statistics	18750	0.82	2019-2020	1st
